source,category,m2131_el,max_tier_possible,domain,notes
postmark,application_activity,el1,el2,application,Email delivery logs
powerdns,dns_activity,el2,el2,dns,DNS resolver logs
presto,application_activity,el1,el2,application,Query engine logs
process-agent,application_activity,el0,el1,platform,Process agent logs
prometheus-operator,application_activity,el0,el1,application,Monitoring operator logs
rapdev_msteams,account_management,el1,el2,identity,SaaS audit logs
rapdev_redhat_satellite,endpoint_activity,el2,el3,endpoint,System and patch management logs
rapdev_sap_cloud_alm,application_activity,el1,el2,application,Cloud application lifecycle logs
rapdev-apache_iotdb,application_activity,el0,el1,application,Database/TSDB operational logs; map auth/audit separately
rapdev-glassfish,application_activity,el1,el2,application,Application server logs
rapdev-sophos,endpoint_activity,el3,el3,endpoint,Endpoint detection logs
ray,application_activity,el0,el1,application,Distributed compute framework logs
react-native,application_activity,el0,el1,application,Mobile application runtime logs
recorded-future,security_telemetry,el2,el2,security,Threat intelligence telemetry
redis,application_activity,el1,el2,application,Database/cache logs
redshift,cloud_data_access,el2,el3,cloud,Warehouse query/audit logs; EL3 if full audit/auth logging enabled
reflectiz,security_telemetry,el2,el2,security,Web supply chain monitoring telemetry
resend,application_activity,el1,el2,application,Email API logs
rethinkdb,application_activity,el0,el1,application,Database operational logs
riak,application_activity,el0,el1,application,Database operational logs
ringcentral,application_activity,el1,el2,application,Communications platform logs
roku,application_activity,el0,el1,application,Streaming/device logs
route53,dns_activity,el2,el2,dns,DNS resolver/query logs
ruby,application_activity,el0,el1,application,Application runtime logs
runtime-security-agent,endpoint_activity,el3,el3,endpoint,Runtime workload telemetry
s3,web_access,el2,el3,cloud,S3 access logs; EL3 if paired with CloudTrail data events
salesforce,account_management,el1,el2,identity,SaaS audit logs
salesforce.commerce.cloud,web_access,el1,el2,application,E-commerce activity logs
salesforce.marketing.cloud,application_activity,el1,el2,application,Marketing platform logs
sanity,application_activity,el0,el1,application,CMS operational logs
scamalytics,security_telemetry,el2,el2,security,Fraud detection telemetry
scfw,security_telemetry,el2,el2,security,Supply chain firewall telemetry
scylla,application_activity,el0,el1,application,Database logs
security-agent,endpoint_activity,el2,el3,endpoint,Runtime security events
securityhub,security_telemetry,el2,el2,security,Security Hub findings/controls status
sendgrid,application_activity,el1,el2,application,Email delivery logs
sentinelone,endpoint_activity,el3,el3,endpoint,EDR telemetry
servicenow,account_management,el1,el2,identity,SaaS admin activity logs
shopify,application_activity,el1,el2,application,E-commerce platform logs
sidekiq,application_activity,el0,el1,application,Background job logs
sinatra,web_access,el1,el2,application,Web application logs
singlestore,application_activity,el0,el1,application,Database logs
slack,account_management,el1,el2,identity,SaaS audit logs
slurm,application_activity,el0,el1,application,Cluster scheduler logs
snowflake,cloud_data_access,el2,el3,cloud,Data warehouse audit logs
sns,application_activity,el0,el1,cloud,Messaging topic logs (ops)
solr,application_activity,el0,el1,application,Search engine logs
sonarqube,application_activity,el0,el1,application,Code analysis logs
sonicwall-firewall,network_activity,el2,el3,network,Firewall traffic logs
sophos-central-cloud,endpoint_activity,el3,el3,endpoint,Cloud-managed endpoint telemetry
spark,application_activity,el0,el1,application,Distributed processing logs
sqlserver,application_activity,el1,el2,application,Database logs
sqreen,web_security,el2,el3,application,RASP protection events
squid,web_access,el2,el2,network,Proxy logs
sshd,authentication,el1,el2,endpoint,SSH authentication logs
statsd,application_activity,el0,el0,application,Metrics only (not security logs)
stepfunction,application_activity,el0,el1,cloud,State machine execution logs
strimzi,application_activity,el0,el1,application,Kafka operator logs
stripe,application_activity,el1,el2,application,Payment processing logs
stunnel,network_activity,el2,el2,network,TLS proxy logs
stytch,authentication,el1,el3,identity,Authentication provider logs
sudo,privileged_access,el1,el3,endpoint,Privilege escalation events
supabase,application_activity,el1,el2,application,Backend-as-a-service logs
supervisord,application_activity,el0,el1,application,Process manager logs
suricata,ids_ips,el2,el3,network,IDS logs
sym,security_telemetry,el2,el2,security,Access governance telemetry
symantec-endpoint-protection,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
system-probe,network_activity,el2,el2,network,Network telemetry
temporal,application_activity,el0,el1,application,Workflow orchestration logs
tenable,security_telemetry,el2,el2,security,Vulnerability scanning telemetry
tenable-io,security_telemetry,el2,el2,security,Cloud vulnerability management telemetry
terraform-cloud,cloud_configuration,el2,el3,cloud,Infrastructure-as-code audit logs
tibco_ems,application_activity,el0,el1,application,Enterprise messaging logs
tomcat,web_access,el1,el2,application,Application server access logs
torchserve,application_activity,el0,el1,application,Model serving logs
trace-agent,application_activity,el0,el1,platform,Trace ingestion logs
traefik,web_access,el2,el2,network,Ingress/proxy access logs
traefik_mesh,network_activity,el2,el2,network,Service mesh traffic logs
traffic_server,web_access,el2,el2,network,Proxy/CDN access logs
transitgateway,network_activity,el2,el2,network,Transit Gateway flow logs
trayio,application_activity,el0,el1,application,Workflow automation logs
trellix-endpoint-security,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
trend-micro-email-security,security_telemetry,el2,el2,security,Email threat detection logs
trend-micro-vision-one-endpoint-security,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
trend-micro-vision-one-xdr,security_telemetry,el3,el3,security,Extended detection and response telemetry
twemproxy,application_activity,el0,el1,application,Proxy for Redis/Memcached logs
twilio,application_activity,el1,el2,application,Communications API logs
twingate,authentication,el1,el3,identity,Zero Trust access logs
twistlock,endpoint_activity,el3,el3,endpoint,Container security telemetry
typingdna,authentication,el1,el2,identity,Behavioral authentication telemetry
UFW,network_activity,el2,el2,network,Firewall allow/deny logs
unity,application_activity,el0,el1,application,Application runtime logs
uwsgi,web_access,el1,el2,application,Application access logs
valence-security,security_telemetry,el2,el2,security,SaaS security posture logs
varnish,web_access,el1,el2,network,HTTP cache access logs
vault,authentication,el1,el3,identity,Secrets access and auth logs
vault-enterprise,authentication,el1,el3,identity,Enterprise secrets platform logging
vectra,security_telemetry,el2,el3,security,AI-driven threat detection
velero,application_activity,el0,el1,application,Backup/restore operations
velocloud-sd-wan,network_activity,el2,el2,network,SD-WAN network logs
vercel,web_access,el1,el2,application,Serverless/web access logs
verified-access,authentication,el1,el2,identity,Zero trust access/auth events
vertica,application_activity,el0,el1,application,Database operational logs
vllm,application_activity,el0,el1,application,Model serving runtime logs
voltdb,application_activity,el0,el1,application,Database cluster logs
vonage,application_activity,el1,el2,application,API communications logs
vpa-admission-controller,authorization,el2,el3,cloud,Vertical Pod Autoscaler admission decisions
vpa-recommender,application_activity,el0,el1,application,Resource recommendation logs
vpa-updater,cloud_configuration,el2,el2,cloud,Pod update actions
vpc,network_activity,el2,el2,network,VPC flow logs
waf,web_security,el2,el3,security,AWS WAF logs
watchguard-firebox,network_activity,el2,el3,network,Firewall traffic logs
wazuh,endpoint_activity,el2,el3,endpoint,HIDS telemetry
weave-kube,network_activity,el2,el2,network,Kubernetes networking logs
weave-npc,network_activity,el2,el2,network,Kubernetes network policy enforcement
weblogic,application_activity,el1,el2,application,Application server logs
windows.events,authentication,el1,el3,endpoint,Windows event logs
wiz,security_telemetry,el2,el2,security,Cloud security posture telemetry
workato,application_activity,el0,el1,application,Automation job execution logs
workday,account_management,el1,el2,identity,SaaS HR audit logs
yarn,application_activity,el0,el1,application,Hadoop resource management logs
zeek,network_activity,el2,el3,network,Network telemetry
zendesk,account_management,el1,el2,identity,SaaS admin activity logs
zero-networks,network_activity,el2,el3,network,Microsegmentation enforcement logs
zerofox-cloud-platform,security_telemetry,el2,el2,security,External threat intelligence telemetry
zookeeper,application_activity,el0,el1,application,Coordination service logs
zoom-activity-logs,authentication,el1,el2,identity,User activity logs
zoom-operation-logs,privileged_access,el2,el2,identity,Admin operations logs
zscaler,web_access,el2,el3,network,Secure web gateway logs
zscaler-private-access,authentication,el2,el3,identity,Zero trust access logs
