lookup_key,category,m2131_el,max_tier_possible,domain,notes
uwsgi|status|401,authentication_failure,el1,el2,application,Unauthorized access attempts
vault|type|auth_success,authentication,el1,el3,identity,Authentication success
vault|type|policy_update,privileged_access,el3,el3,identity,Policy/admin changes
verified-access|decision|allow,authorization,el2,el2,identity,Access decision allowed
verified-access|decision|deny,authorization,el2,el2,identity,Access decision denied
vpc|flow_direction|egress,network_activity,el2,el2,network,Outbound traffic
vpc|flow_direction|ingress,network_activity,el2,el2,network,Inbound traffic
waf|action|ALLOW,web_access,el2,el3,security,Allowed request (still useful for investigations)
waf|action|BLOCK,web_security,el2,el3,security,Blocked request
waf|action|COUNT,web_security,el2,el3,security,Counted request (monitoring)
watchguard-firebox|action|deny,network_activity,el2,el3,network,Dropped sessions
watchguard-firebox|event_type|threat,ids_ips,el3,el3,network,Threat detection events
wazuh|rule_group|syscheck,file_integrity_monitoring,el3,el3,endpoint,File integrity monitoring
windows.events|winlog.event_id|4624,authentication,el1,el3,endpoint,Logon success
windows.events|winlog.event_id|4688,process_activity,el2,el3,endpoint,Process creation
windows|winlog.event_id|4624,authentication,el1,el3,endpoint,Logon success
windows|winlog.event_id|4625,authentication,el1,el3,endpoint,Logon failure
windows|winlog.event_id|4688,process_activity,el2,el3,endpoint,Process creation
windows|winlog.channel|Sysmon,advanced_endpoint_telemetry,el3,el3,endpoint,Full Sysmon telemetry
zeek|log_type|notice,ids_ips,el3,el3,network,Detection notices
zscaler|action|blocked,web_security,el2,el3,network,Blocked web access
